"p_censoring","n_sample","prob.E","prob.AE","prob.RE","prob.ARE","TTP.E","TTP.AE","TTP.RE","TTP.ARE","TTD.E","TTD.AE","TTD.RE","TTD.ARE"
"0","50","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.28; 0.28)","0.11 (0.00; 0.32)","-0.01 (-1.10; 1.15)","0.45 (0.02; 1.26)","-0.00 (-0.22; 0.23)","0.09 (0.00; 0.25)","0.02 (-2.72; 2.86)","1.13 (0.04; 3.14)","0.00 (-0.22; 0.23)","0.09 (0.00; 0.25)"
"0","100","-0.00 (-0.10; 0.09)","0.04 (0.00; 0.11)","-0.00 (-0.20; 0.19)","0.08 (0.00; 0.22)","-0.00 (-0.78; 0.81)","0.32 (0.02; 0.92)","-0.00 (-0.16; 0.16)","0.07 (0.00; 0.19)","0.00 (-1.96; 1.95)","0.79 (0.03; 2.19)","0.00 (-0.16; 0.16)","0.06 (0.00; 0.18)"
"0","500","0.00 (-0.04; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.08)","0.04 (0.00; 0.10)","0.00 (-0.32; 0.35)","0.14 (0.01; 0.38)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.01 (-0.88; 0.87)","0.35 (0.01; 0.99)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)"
"0.6","50","0.02 (-0.22; 0.33)","0.11 (0.01; 0.33)","0.04 (-0.43; 0.65)","0.22 (0.01; 0.65)","2074.53 (-1.74; 30.87)","2075.09 (0.05; 30.87)","416.92 (-0.35; 6.20)","417.04 (0.01; 6.20)","-0.14 (-7.44; 9.72)","3.10 (0.11; 10.12)","-0.01 (-0.60; 0.78)","0.25 (0.01; 0.82)"
"0.6","100","-0.00 (-0.17; 0.24)","0.08 (0.00; 0.24)","-0.01 (-0.34; 0.48)","0.16 (0.01; 0.48)","0.96 (-1.37; 5.39)","1.51 (0.03; 5.39)","0.19 (-0.28; 1.08)","0.30 (0.01; 1.08)","0.42 (-5.54; 6.71)","2.18 (0.08; 7.52)","0.03 (-0.45; 0.54)","0.18 (0.01; 0.61)"
"0.6","500","-0.01 (-0.08; 0.06)","0.03 (0.00; 0.08)","-0.02 (-0.15; 0.12)","0.06 (0.00; 0.16)","0.02 (-0.64; 0.76)","0.28 (0.01; 0.81)","0.00 (-0.13; 0.15)","0.06 (0.00; 0.16)","0.40 (-1.44; 2.49)","0.84 (0.03; 2.50)","0.03 (-0.12; 0.20)","0.07 (0.00; 0.20)"
