"p_censoring","n_sample","probTTP.E","probTTP.AE","probTTP.RE","probTTP.ARE","meanTTP.E","meanTTP.AE","meanTTP.RE","meanTTP.ARE","meanTTD.E","meanTTD.AE","meanTTD.RE","meanTTD.ARE","TTP.KLD","TTD.KLD"
"0","50","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.28; 0.28)","0.11 (0.00; 0.32)","-0.01 (-1.10; 1.15)","0.45 (0.02; 1.26)","-0.00 (-0.22; 0.23)","0.09 (0.00; 0.25)","0.02 (-2.72; 2.86)","1.13 (0.04; 3.14)","0.00 (-0.22; 0.23)","0.09 (0.00; 0.25)","0.07 (0.01; 0.24)","0.07 (0.02; 0.24)"
"0","100","-0.00 (-0.10; 0.09)","0.04 (0.00; 0.11)","-0.00 (-0.20; 0.19)","0.08 (0.00; 0.22)","-0.00 (-0.78; 0.81)","0.32 (0.02; 0.92)","-0.00 (-0.16; 0.16)","0.07 (0.00; 0.19)","0.00 (-1.96; 1.95)","0.79 (0.03; 2.19)","0.00 (-0.16; 0.16)","0.06 (0.00; 0.18)","0.04 (0.01; 0.13)","0.05 (0.02; 0.11)"
"0","200","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.00 (-0.14; 0.14)","0.06 (0.00; 0.15)","-0.00 (-0.54; 0.57)","0.22 (0.01; 0.63)","-0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)","-0.00 (-1.38; 1.39)","0.57 (0.02; 1.59)","-0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)","0.03 (0.01; 0.08)","0.04 (0.02; 0.07)"
"0","500","0.00 (-0.04; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.08)","0.04 (0.00; 0.10)","0.00 (-0.32; 0.35)","0.14 (0.01; 0.38)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.01 (-0.88; 0.87)","0.35 (0.01; 0.99)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.03 (0.01; 0.05)","0.03 (0.02; 0.05)"
"0.1","50","-0.00 (-0.15; 0.15)","0.06 (0.00; 0.17)","-0.00 (-0.30; 0.30)","0.12 (0.00; 0.34)","0.01 (-1.16; 1.33)","0.50 (0.02; 1.45)","0.00 (-0.23; 0.27)","0.10 (0.00; 0.29)","0.05 (-2.94; 3.09)","1.22 (0.05; 3.42)","0.00 (-0.24; 0.25)","0.10 (0.00; 0.28)","0.08 (0.01; 0.29)","0.08 (0.02; 0.30)"
"0.1","100","-0.00 (-0.10; 0.10)","0.04 (0.00; 0.12)","-0.00 (-0.21; 0.21)","0.08 (0.00; 0.23)","-0.00 (-0.83; 0.87)","0.34 (0.01; 0.98)","-0.00 (-0.17; 0.17)","0.07 (0.00; 0.20)","0.02 (-2.00; 2.10)","0.84 (0.03; 2.33)","0.00 (-0.16; 0.17)","0.07 (0.00; 0.19)","0.05 (0.01; 0.14)","0.05 (0.02; 0.13)"
"0.1","200","-0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.57; 0.60)","0.24 (0.01; 0.68)","-0.00 (-0.12; 0.12)","0.05 (0.00; 0.14)","0.01 (-1.44; 1.47)","0.60 (0.02; 1.73)","0.00 (-0.12; 0.12)","0.05 (0.00; 0.14)","0.03 (0.01; 0.08)","0.04 (0.02; 0.08)"
"0.1","500","0.00 (-0.05; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.09)","0.04 (0.00; 0.10)","0.00 (-0.35; 0.36)","0.15 (0.01; 0.40)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.02 (-0.91; 0.94)","0.37 (0.01; 1.04)","0.00 (-0.07; 0.08)","0.03 (0.00; 0.08)","0.03 (0.01; 0.05)","0.03 (0.02; 0.05)"
"0.3","50","-0.00 (-0.16; 0.18)","0.07 (0.00; 0.19)","-0.00 (-0.33; 0.36)","0.14 (0.01; 0.38)","0.43 (-1.35; 3.03)","0.98 (0.03; 3.03)","0.09 (-0.27; 0.61)","0.20 (0.01; 0.61)","0.08 (-3.92; 4.20)","1.57 (0.05; 4.74)","0.01 (-0.32; 0.34)","0.13 (0.00; 0.38)","0.12 (0.01; 0.46)","0.15 (0.03; 0.71)"
"0.3","100","-0.00 (-0.12; 0.11)","0.05 (0.00; 0.13)","-0.00 (-0.23; 0.23)","0.09 (0.00; 0.26)","0.02 (-0.95; 1.17)","0.42 (0.02; 1.22)","0.00 (-0.19; 0.23)","0.08 (0.00; 0.25)","0.06 (-2.39; 2.65)","1.01 (0.04; 2.90)","0.00 (-0.19; 0.21)","0.08 (0.00; 0.23)","0.06 (0.01; 0.19)","0.07 (0.02; 0.23)"
"0.3","200","-0.00 (-0.08; 0.08)","0.03 (0.00; 0.09)","-0.01 (-0.16; 0.15)","0.06 (0.00; 0.18)","-0.01 (-0.65; 0.71)","0.28 (0.01; 0.77)","-0.00 (-0.13; 0.14)","0.06 (0.00; 0.16)","0.11 (-1.56; 1.79)","0.69 (0.03; 1.95)","0.01 (-0.13; 0.14)","0.06 (0.00; 0.16)","0.04 (0.01; 0.10)","0.05 (0.02; 0.10)"
"0.3","500","-0.00 (-0.05; 0.05)","0.02 (0.00; 0.06)","-0.00 (-0.10; 0.10)","0.04 (0.00; 0.11)","0.00 (-0.41; 0.43)","0.17 (0.01; 0.48)","0.00 (-0.08; 0.09)","0.03 (0.00; 0.10)","0.07 (-1.00; 1.10)","0.43 (0.02; 1.20)","0.01 (-0.08; 0.09)","0.04 (0.00; 0.10)","0.03 (0.01; 0.06)","0.04 (0.02; 0.06)"
"0.6","50","0.02 (-0.22; 0.33)","0.11 (0.01; 0.33)","0.04 (-0.43; 0.65)","0.22 (0.01; 0.65)","2074.53 (-1.74; 30.87)","2075.09 (0.05; 30.87)","416.92 (-0.35; 6.20)","417.04 (0.01; 6.20)","-0.14 (-7.44; 9.72)","3.10 (0.11; 10.12)","-0.01 (-0.60; 0.78)","0.25 (0.01; 0.82)","0.25 (0.02; 0.99)","0.49 (0.03; 2.98)"
"0.6","100","-0.00 (-0.17; 0.24)","0.08 (0.00; 0.24)","-0.01 (-0.34; 0.48)","0.16 (0.01; 0.48)","0.96 (-1.37; 5.39)","1.51 (0.03; 5.39)","0.19 (-0.28; 1.08)","0.30 (0.01; 1.08)","0.42 (-5.54; 6.71)","2.18 (0.08; 7.52)","0.03 (-0.45; 0.54)","0.18 (0.01; 0.61)","0.14 (0.01; 0.45)","0.23 (0.03; 1.52)"
"0.6","200","-0.02 (-0.13; 0.12)","0.05 (0.00; 0.15)","-0.03 (-0.25; 0.24)","0.10 (0.00; 0.29)","0.15 (-0.99; 2.40)","0.58 (0.02; 2.40)","0.03 (-0.20; 0.48)","0.12 (0.00; 0.48)","0.70 (-2.73; 5.15)","1.53 (0.05; 5.40)","0.06 (-0.22; 0.41)","0.12 (0.00; 0.44)","0.07 (0.01; 0.25)","0.10 (0.02; 0.42)"
"0.6","500","-0.01 (-0.08; 0.06)","0.03 (0.00; 0.08)","-0.02 (-0.15; 0.12)","0.06 (0.00; 0.16)","0.02 (-0.64; 0.76)","0.28 (0.01; 0.81)","0.00 (-0.13; 0.15)","0.06 (0.00; 0.16)","0.40 (-1.44; 2.49)","0.84 (0.03; 2.50)","0.03 (-0.12; 0.20)","0.07 (0.00; 0.20)","0.04 (0.01; 0.09)","0.05 (0.02; 0.14)"
